field	anchor	contract
mobilePairingCustomAddresses	R/components/mobile/use-mobile-pairing-custom-address.ts:15	Normalize list and merge current saved address; singular and plural state remain synchronized without assuming atomic pairing execution.
experimentalPet	R/app-shell/app-root-surface-settings.ts:10	Exact true enables pet overlay; current value wins legacy sidekick including explicit false.
experimentalSidekick	M/persistence/applying-settings/onboarding-normalization.ts:242	Read legacy flag only for current pet fallback; normalization does not strip legacy key through retired-key helper.
experimentalActivity	M/persistence/loading-store/prepare-loaded-profile-settings.ts:67	Legacy activity value survives only past prior rollout boundary and feeds Agents introduction migration; no current feature toggle inferred.
experimentalAgentDashboardPopout	M/ipc/dashboard-popout.ts:29	Exact true gates dashboard main IPC and renderer entry, independently from in-window/popout mode.
agentsSidebarIntroShown	R/components/sidebar/SidebarHeader.tsx:28	Acknowledgement state combines with migration eligibility; close/Got it requests persistence, not an unconditional once-ever guarantee.
agentsSidebarMigratedFromExperimental	M/persistence/loading-store/normalize-loaded-global-settings.ts:90	Preserve prior true or derive from prepared legacy activity, then UI uses it for introduction eligibility.
experimentalAgentDashboardMode	R/hooks/ipc-events/agent-dashboard-command.ts:20	Explicit popout opens separate window; other values use in-window drawer policy.
experimentalAgentDashboardShowIdle	R/components/sidebar/AgentDashboardSidebarEntry.tsx:63	Exact true controls sidebar idle badge projection and is serialized into dashboard snapshot; serialized flag is not itself proof of actual card filtering.
experimentalActivityDefaultedOffForAllUsers	M/persistence/loading-store/prepare-loaded-profile-settings.ts:64	Legacy rollout boundary controls whether raw activity is preserved; normalize output stamps true.
experimentalTerminalAttention	R/hooks/agent-hook-completion-store-sync.ts:33	Exact true can keep completion tracking active even when notifications are disabled; attention state is separate from delivery permission.
experimentalAgentHibernation	R/lib/agent-hibernation-planner.ts:103	Exact true enables planner; otherwise no candidates. Coordinator start/stop follows toggle and actual liveness remains independently checked.
agentHibernationIdleMs	R/lib/agent-hibernation-planner.ts:106	Effective idle duration feeds candidate planner with mobile locks, foreground tabs and runtime liveness requirements.
experimentalNewWorktreeCardStyle	R/components/sidebar/use-worktree-card-foundation.ts:43	Exact true selects new card style and suppresses compact-card branch even if compact preference is true.
experimentalEphemeralVms	R/hooks/composer-state/runtime-target-selection.ts:212	Exact true gates recipe probing in runtime-target selection; toggling is not evidence a VM launched.
compactWorktreeCards	R/components/sidebar/use-worktree-card-foundation.ts:44	Exact true selects compact only when new-card style is off; load current value wins legacy including false.
experimentalCompactWorktreeCards	M/persistence/loading-store/prepare-loaded-profile-settings.ts:185	Legacy alias is fallback only; normalized output writes current compact setting and clears legacy to undefined.
activeRuntimeEnvironmentId	S/execution-host.ts:223	Trimmed id selects runtime execution host or local fallback; renderer generic updates cannot grant server preference and dedicated switch validates compatibility/fences races (SP05-SP07).
githubProjects	R/components/github-project/useProjectViewTable.ts:50	Saved active project and per-project last view drive table selection; runtime owner target is resolved separately.
commitMessageAi	S/source-control-ai.ts:117	Legacy AI settings feed normalized sourceControlAi fallback; modern updates project back for rollback compatibility and legacy writes merge forward.
sourceControlAi	S/source-control-ai.ts:118	Normalize modern settings with legacy fallback and repository overrides; action recipes/model/host maps remain nested execution policy.
gitlabProjects	M/gitlab/gitlab-project-recents.ts:15	Successful lookup records deduplicated host/path recent list capped at ten and preserves pinned; null lookup does not write.
telemetry	M/persistence/applying-settings/settings-update.ts:212	Partial telemetry updates merge siblings, preserving install/cohort fields; absent builder default is not absent authority. Opt-in UI remains separate from initialized install metadata.
tabSwitchKeybindingSeed	M/startup/main-process-account-services.ts:117	Pending cohort triggers per-action file seed; mark done only after seed succeeds and retain pending on failure for retry.
voice	M/speech/speech-runtime-service.ts:49	Voice nested options include model directory and STT choice; load merges voice defaults, model manager creation reads directory once, and deleting selected model updates selection.
